page_label,page_no,title,section_name,page_kind,reference_family_name,family_names,summary,notes,image_filename
p104,104,Corey-Fuchs Alkyne Synthesis – Importance and Mechanism,Importance; Mechanism,canonical_overview,Corey-Fuchs Alkyne Synthesis,Corey-Fuchs Alkyne Synthesis,"Overview page for the Corey-Fuchs alkyne synthesis describing one-carbon homologation of aldehydes to terminal alkynes through dibromoolefin formation with carbon tetrabromide and triphenylphosphine, followed by n-butyllithium-mediated conversion to lithium acetylides and hydrolysis.","Key concepts: CBr4/Ph3P dibromoolefination, n-BuLi-induced elimination, aldehyde-to-terminal-alkyne homologation.",named reactions_156.jpg
p105,105,Corey-Fuchs Alkyne Synthesis – Synthetic Applications,Synthetic Applications,application_example,Corey-Fuchs Alkyne Synthesis,Corey-Fuchs Alkyne Synthesis,"Application page for the Corey-Fuchs alkyne synthesis featuring installation of terminal alkyne motifs in fused ether, himandravine alkaloid, taylorione, and hirsutene syntheses from advanced aldehyde intermediates.","Examples emphasize late-stage aldehyde homologation to terminal alkynes as handles for radical cyclization, Stille coupling, and annulation sequences.",named reactions_157.jpg
p106,106,Corey-Kim Oxidation – Importance and Mechanism,Importance; Mechanism,canonical_overview,Corey-Kim Oxidation,Corey-Kim Oxidation,"Overview page for the Corey-Kim oxidation describing conversion of primary and secondary alcohols to aldehydes or ketones with N-chlorosuccinimide, dimethyl sulfide, and triethylamine via alkoxysulfonium salt intermediates under mild low-temperature conditions.","Key concepts: NCS/DMS activation, Corey-Kim reagent formation, alkoxysulfonium intermediates, mild alcohol oxidation.",named reactions_158.jpg
p107,107,Corey-Kim Oxidation – Synthetic Applications,Synthetic Applications,application_example,Corey-Kim Oxidation,Corey-Kim Oxidation,"Application page for the Corey-Kim oxidation featuring selective oxidation in syntheses of ingenol, epi-jatrophone, cephalotaxine, and LY426965, where sensitive polyfunctional alcohols are converted to carbonyl or allylic chloride precursors under mild conditions.",Applications highlight chemoselective oxidation of hindered diols and beta-hydroxy ketones in advanced natural product and medicinal chemistry settings.,named reactions_159.jpg
p108,108,Corey-Nicolaou Macrolactonization – Importance and Mechanism,Importance; Mechanism,canonical_overview,Corey-Nicolaou Macrolactonization,Corey-Nicolaou Macrolactonization,"Overview page for the Corey-Nicolaou macrolactonization describing activation of hydroxy acids as 2-pyridinethiol esters using 2,2'-dipyridyl disulfide and triphenylphosphine, followed by intramolecular lactonization to medium- and large-ring lactones under high-dilution conditions.","Key concepts: 2-pyridinethiol ester activation, dipolar intermediate, intramolecular lactonization, medium- and large-ring lactone formation.",named reactions_160.jpg
p109,109,Corey-Nicolaou Macrolactonization – Synthetic Applications,Synthetic Applications,application_example,Corey-Nicolaou Macrolactonization,Corey-Nicolaou Macrolactonization,"Application page for the Corey-Nicolaou macrolactonization featuring macrocycle formation in brevetoxin A BCD ring, the C-1027 chromophore, (-)-aplyolide A, and (-)-tuckolide syntheses under bis-pyridyl disulfide activation conditions.",Examples emphasize selective macrolactone closure in densely functionalized polyene and polyether settings where competing dimerization pathways must be suppressed.,named reactions_161.jpg
p110,110,Corey-Winter Olefination – Importance and Mechanism,Importance; Mechanism,canonical_overview,Corey-Winter Olefination,Corey-Winter Olefination,"Overview page for the Corey-Winter olefination describing stereospecific conversion of 1,2-diols to alkenes through cyclic 1,3-dioxolane-2-thiones or 1,2-thionocarbonates followed by trialkyl phosphite-induced syn elimination.","Key concepts: cyclic thionocarbonate formation, phosphite-promoted elimination, diol-to-alkene deoxygenation with stereospecific retention of alkene geometry.",named reactions_162.jpg
p111,111,Corey-Winter Olefination – Synthetic Applications,Synthetic Applications,application_example,Corey-Winter Olefination,Corey-Winter Olefination,"Application page for the Corey-Winter olefination featuring cis-diol to alkene conversion in syntheses of boesenoxide, radiosumin, allylic epoxide intermediates, and L-(+)-swainsonine.",Applications highlight deoxygenative alkene formation from vicinal diols embedded in highly functionalized cyclic systems.,named reactions_163.jpg
p112,112,Cornforth Rearrangement – Importance and Mechanism,Importance; Mechanism,canonical_overview,Cornforth Rearrangement,Cornforth Rearrangement,"Overview page for the Cornforth rearrangement describing thermal isomerization of 4-carbonyl-substituted oxazoles through dicarbonylnitrile ylide intermediates to isomeric oxazole products, including mechanistic links to electrocyclic ring opening and 1,5-dipolar cycloreversion.","Key concepts: oxazole isomerization, dicarbonylnitrile ylide intermediate, 4-carbonyl-substituted oxazole rearrangement, electrocyclic ring opening.",named reactions_164.jpg
p113,113,Cornforth Rearrangement – Synthetic Applications,Synthetic Applications,application_example,Cornforth Rearrangement,Cornforth Rearrangement,"Application page for the Cornforth rearrangement featuring conversion of oxazoles to 5-aminothiazoles, 4,5-disubstituted oxazoles, and fused imidazo[5,1-b]-2,3-dihydrooxazole products via thionation, base-induced rearrangement, and thermal cyclization sequences.",Examples emphasize oxazole-to-thiazole and oxazole-to-oxazole skeletal editing in heterocycle synthesis.,named reactions_165.jpg
