family_name,book_page_no,pdf_page_no,region_index,status,crop_path,paragraph_text,raw_json_path,error
Aldol Reaction,9,61,1,error,C:\chemlens\backend\reports\pdf_example_automation\20260419_110703\crops\009_Aldol_Reaction_r1.png,"The first enantioselective total synthesis of (–)-denticulatin A was accomplished by W. Oppolzer.83 The key step in their approach was based on enantiotopic group differentiation in a meso dialdehyde by an aldol reaction. In the aldol reaction they utilized a bornanesultam chiral auxiliary. The enolization of N-propionylbornane-10,2-sultam provided the (Z)-borylenolate derivative, which underwent an aldol reaction with the meso dialdehyde to afford the product with high yield and enantiopurity. In the final stages of the synthesis they utilized a second, double- diastereodifferentiating aldol reaction. Aldol reaction of the (Z)-titanium enolate gave the anti-Felkin syn product. The stereochemical outcome of the reaction was determined by the α-chiral center in the aldehyde component.",,429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-pro:generateContent?key=<REDACTED>
Aldol Reaction,9,61,2,error,C:\chemlens\backend\reports\pdf_example_automation\20260419_110703\crops\009_Aldol_Reaction_r2.png,"During the total synthesis of rhizoxin D by J.D. White et al., an asymmetric aldol reaction was utilized to achieve the coupling of two key fragments.84 The aldol reaction of the aldehyde and the chiral enolate derived from (+)- chlorodiisopinocampheylborane afforded the product with a diastereomeric ratio of 17-20:1 at the C13 stereocenter. During their studies, White and co-workers also showed that the stereochemical induction of the chiral boron substituent and the stereocenters present in the enolate reinforce each other thus representing a “matched” aldol reaction.",,429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-pro:generateContent?key=<REDACTED>
Aldol Reaction,9,61,3,error,C:\chemlens\backend\reports\pdf_example_automation\20260419_110703\crops\009_Aldol_Reaction_r3.png,"A possible way to induce enantioselectivity in the aldol reaction is to employ a chiral catalyst. M. Shibasaki and co- workers developed a bifunctional catalyst, (S)-LLB (L=lanthanum; LB=lithium binaphthoxide), which could be successfully applied in direct catalytic asymmetric aldol reactions.85 An improved version of this catalyst derived from (S)-LLB by the addition of water and KOH was utilized in the formal total synthesis of fostriecin.86",,429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-pro:generateContent?key=<REDACTED>
Alkene (Olefin) Metathesis,11,63,1,error,C:\chemlens\backend\reports\pdf_example_automation\20260419_110703\crops\011_Alkene_Olefin_Metathesis_r1.png,"A.B. Smith and co-workers have devised an efficient strategy for the synthesis of the cylindrocyclophane family of natural products.90,91 Olefin ring-closing metathesis was used for the assembly of the [7,7]-paracyclophane skeleton. During their investigations they discovered a remarkably efficient CM dimerization process, that culminated in the total synthesis of both (–)-cylindrocyclophane A and (–)-cylindrocyclophane F. They established that the cross metathesis dimerization process selectively led to the thermodynamically most stable member of a set of structurally related isomers. Out of three commonly used RCM catalysts, Schrock’s catalyst proved to be the most efficient for this transformation.",,429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-pro:generateContent?key=<REDACTED>
Alkene (Olefin) Metathesis,11,63,2,error,C:\chemlens\backend\reports\pdf_example_automation\20260419_110703\crops\011_Alkene_Olefin_Metathesis_r2.png,"The streptogramin antibiotics are a family of compounds that were isolated from a variety of soil organisms belonging to the genus Streptomyces. They are active against bacteria resistant to vancomycin. In the laboratory of A.I. Meyers the first total synthesis of streptogramin antibiotics, (–)-griseoviridin and its C8 epimer, featuring a 23-membered unsaturated ring, was accomplished using a novel RCM that involved a highly diastereoselective triene to diene macrocyclic ring formation.92 The metathesis was performed in 37-42% yield using 30 mol% of Grubbs catalyst. The natural product was obtained as a single diastereomer; no other olefin isomers were formed in the ring-closing step.",,429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-pro:generateContent?key=<REDACTED>
Alkene (Olefin) Metathesis,11,63,3,error,C:\chemlens\backend\reports\pdf_example_automation\20260419_110703\crops\011_Alkene_Olefin_Metathesis_r3.png,The first enantioselective total synthesis of (+)-prelaureatin was achieved by M.T. Crimmins et al.93 The oxocene core of the natural product was constructed in high yield by a RCM reaction using the first generation Grubbs catalyst.,,429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-pro:generateContent?key=<REDACTED>
Baeyer-Villiger Oxidation/Rearrangement,29,81,1,error,C:\chemlens\backend\reports\pdf_example_automation\20260419_110703\crops\029_Baeyer_Villiger_Oxidation_Rearrangement_r1.png,"Investigations by J. Oh showed that the cycloaddition of dichloroketene to glucal followed by Baeyer-Villiger oxidation afforded a bicyclic γ-lactone, an α-D-C-glucoside, which was further transformed to a C1-methyl glucitol derivative.62",,429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-pro:generateContent?key=<REDACTED>
Baeyer-Villiger Oxidation/Rearrangement,29,81,2,error,C:\chemlens\backend\reports\pdf_example_automation\20260419_110703\crops\029_Baeyer_Villiger_Oxidation_Rearrangement_r2.png,"In the laboratory of T.K.M. Shing, the functionalized CD-ring of Taxol® was synthesized in 21 steps starting out from (S)-(+)-carvone.63 The key steps were Baeyer-Villiger oxidation, Oppenhauer oxidation, Meerwein-Ponndorf-Verley reduction, a stereospecific Grignard addition, and an intramolecular SN2 reaction.",,429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-pro:generateContent?key=<REDACTED>
Baeyer-Villiger Oxidation/Rearrangement,29,81,3,error,C:\chemlens\backend\reports\pdf_example_automation\20260419_110703\crops\029_Baeyer_Villiger_Oxidation_Rearrangement_r3.png,Only a few methods are known for the preparation of cage-annulated ethers. A.P. Marchand and co-workers have used the Baeyer-Villiger oxidation for the synthesis of novel cage heterocycles and developed a general procedure that can be used to synthesize cage ethers by replacing the carbonyl group in a cage ketone by a ring oxygen atom or by a CH2O group.64,,429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-pro:generateContent?key=<REDACTED>
Baeyer-Villiger Oxidation/Rearrangement,29,81,4,error,C:\chemlens\backend\reports\pdf_example_automation\20260419_110703\crops\029_Baeyer_Villiger_Oxidation_Rearrangement_r4.png,"An unexpected rearrangement was observed in the peroxytrifluoroacetic acid-mediated Baeyer-Villiger oxidation of trans-3β-hydroxy-4,4,10β-trimethyl-9-decalone by F.W.J. Demnitz and co-workers.65 The initially formed ring- expanded lactone product underwent a trifluoroacetic acid-catalyzed cleavage of the lactone C-O bond, and the resulting tertiary carbocation was trapped by the free hydroxyl group to afford a 7-oxabicyclo[2.2.1]heptane derivative. This compound was then used for the total synthesis and structure proof of the sesquiterpene (±)-farnesiferol C.",,429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-pro:generateContent?key=<REDACTED>
