page_label,page_no,title,page_kind,reference_family_name,image_filename
p11,11,Alkene (Olefin) Metathesis – Synthetic Applications,application_example,Alkene (Olefin) Metathesis,named reactions_54.jpg
p2,2,Acetoacetic Ester Synthesis – Importance and Mechanism,canonical_overview,Acetoacetic Ester Synthesis,named reactions_55.jpg
p3,3,Acetoacetic Ester Synthesis – Synthetic Applications,application_example,Acetoacetic Ester Synthesis,named reactions_56.jpg
p4,4,Acyloin Condensation – Importance and Mechanism,canonical_overview,Acyloin Condensation,named reactions_57.jpg
p5,5,Acyloin Condensation – Synthetic Applications,application_example,Acyloin Condensation,named reactions_58.jpg
p6,6,Alder (Ene) Reaction (Hydro-Allyl Addition) – Importance and Mechanism,canonical_overview,Alder (Ene) Reaction (Hydro-Allyl Addition),named reactions_59.jpg
p7,7,Alder (Ene) Reaction (Hydro-Allyl Addition) – Synthetic Applications,application_example,Alder (Ene) Reaction (Hydro-Allyl Addition),named reactions_60.jpg
p8,8,Aldol Reaction – Importance and Mechanism,canonical_overview,Aldol Reaction,named reactions_61.jpg
p9,9,Aldol Reaction – Synthetic Applications,application_example,Aldol Reaction,named reactions_62.jpg
p10,10,Alkene (Olefin) Metathesis – Importance and Mechanism,canonical_overview,Alkene (Olefin) Metathesis,named reactions_63.jpg
