source_label,page_label,page_no,title,section_name,page_kind,summary,family_names,reference_family_name,notes,image_filename
named_reactions_frontmatter_batch1,xiv,14,IV. Explanation of the Use of Colors in the Schemes and Text,IV. Explanation of the Use of Colors,meta_explanatory,"Explains the textbook color convention and introduces example named reactions and target-molecule context. Family names explicitly visible include acetoacetic ester synthesis, retro-Claisen reaction, Simmons-Smith, Furukawa modification, and Charette asymmetric modification.",Acetoacetic Ester Synthesis|Retro-Claisen Reaction|Simmons-Smith Reaction|Furukawa Modification|Charette Asymmetric Cyclopropanation,,Useful as family seed page rather than direct application example.,named reactions_14.jpg
named_reactions_frontmatter_batch1,xv,15,Mechanistic Schemes: Suzuki cross-coupling and Swern oxidation,IV. Explanation of the Use of Colors,mechanism_demo,"Contains the catalytic cycle of the Suzuki cross-coupling and a detailed mechanism panel for Swern oxidation, including DMSO activation and alkoxysulfonium intermediates.",Suzuki Cross-Coupling|Swern Oxidation,,High-value family-pattern seed page.,named reactions_15.jpg
named_reactions_frontmatter_batch1,xvi,16,2-aza-Cope example and Dakin oxidation references,IV. Explanation of the Use of Colors,reference_explanatory,"Shows a 2-aza-Cope rearrangement example, epothilone B context, and a reference block for Dakin oxidation. Also explicitly states that the Dakin oxidation is mechanistically similar to Baeyer-Villiger oxidation.",Aza-Cope Rearrangement|Dakin Oxidation|Baeyer-Villiger Oxidation,Dakin Oxidation,High-value reference anchor page.,named reactions_16.jpg
named_reactions_frontmatter_batch1,xvii,17,V. List of Abbreviations (18-Cr-6 to Ar),V. List of Abbreviations,abbreviation_glossary,"Abbreviation glossary page covering common reaction terms, protecting groups, reagents, and general solvent descriptors from 18-Cr-6 through Ar.",,,Alias-normalization seed page.,named reactions_17.jpg
named_reactions_frontmatter_batch1,xviii,18,V. List of Abbreviations (ATD to BINAP),V. List of Abbreviations,abbreviation_glossary,"Abbreviation glossary page covering ATD to BINAP, including 9-BBN, BHT, BINAL-H, BINAP, and other named ligands/additives.",,,Alias-normalization seed page.,named reactions_18.jpg
named_reactions_frontmatter_batch1,xix,19,V. List of Abbreviations (BINOL to BPS/TBDPS),V. List of Abbreviations,abbreviation_glossary,"Abbreviation glossary page covering BINOL to BPS/TBDPS, including Boc, BOP-Cl, BPD, and BPO.",,,Alias-normalization seed page.,named reactions_19.jpg
named_reactions_frontmatter_batch1,xx,20,V. List of Abbreviations (BQ to c),V. List of Abbreviations,abbreviation_glossary,"Abbreviation glossary page covering BQ to c, including Bt, BTAF, BTMSA, BTSA, and benzyltrialkylammonium salts.",,,Alias-normalization seed page.,named reactions_20.jpg
named_reactions_frontmatter_batch1,xxi,21,V. List of Abbreviations (ca to CPTS),V. List of Abbreviations,abbreviation_glossary,"Abbreviation glossary page covering ca to CPTS, including CAN, CBS, CDI, COD, COT, and cross metathesis abbreviation CM/XMET.",Cross Metathesis,,Alias-normalization seed page.,named reactions_21.jpg
named_reactions_frontmatter_batch1,xxii,22,V. List of Abbreviations (CRA to DBI),V. List of Abbreviations,abbreviation_glossary,"Abbreviation glossary page covering CRA to DBI, including CSA, CSI, CTAB, DABCO, DAST, DBA, DBAD, and DBI.",,,Alias-normalization seed page.,named reactions_22.jpg
named_reactions_frontmatter_batch1,xxiii,23,V. List of Abbreviations (DBM to de),V. List of Abbreviations,abbreviation_glossary,"Abbreviation glossary page covering DBM to de, including DBU, DCC, DCE, DCM, DDQ, and de.",,,Alias-normalization seed page.,named reactions_23.jpg
