page_label,page_no,title,section_name,page_kind,summary,family_names,reference_family_name,notes,image_filename
p410,410,SHI ASYMMETRIC EPOXIDATION,Importance; Mechanism,canonical_overview,Overview page for the Shi asymmetric epoxidation describing ketone-catalyzed dioxirane formation from Oxone/KHSO5 and highly enantioselective epoxidation of unfunctionalized alkenes with fructose-derived chiral ketones.,Shi Asymmetric Epoxidation,Shi Asymmetric Epoxidation,"Key concepts: environmentally friendly dioxirane oxidant generation, pH-controlled Oxone activation, D- or L-fructose-derived catalyst families, and broad asymmetric epoxidation of trans-disubstituted, trisubstituted, and terminal olefins.",named reactions_462.jpg
p411,411,SHI ASYMMETRIC EPOXIDATION,Synthetic Applications,application_example,"Application page for the Shi asymmetric epoxidation featuring Cryptophycin 52, (+)-Murisolin, (+)-Equilenin, and Glabrescol, highlighting stereocontrolled epoxide installation and oxidative ring expansion in complex natural-product synthesis.",Shi Asymmetric Epoxidation,Shi Asymmetric Epoxidation,"Examples emphasize careful pH control, use of D- versus L-fructose-derived catalysts, epoxidation of fluorous-tagged substrates, and competitive comparison with Jacobsen-type oxidations for challenging cyclopropylidene alkenes.",named reactions_463.jpg
p412,412,SIMMONS-SMITH CYCLOPROPANATION,Importance; Mechanism,canonical_overview,"Overview page for Simmons-Smith cyclopropanation describing zinc-carbenoid transfer from diiodomethane/zinc reagents to alkenes with high stereospecificity, including Furukawa and Charette asymmetric modifications.",Simmons-Smith Cyclopropanation,Simmons-Smith Cyclopropanation,"Key concepts: Zn-Cu or Et2Zn/CH2I2 methylene transfer, retention of alkene geometry in cyclopropane products, strong directing effects from allylic alcohols, and asymmetric cyclopropanation using chiral dioxaborolane auxiliaries.",named reactions_464.jpg
p413,413,SIMMONS-SMITH CYCLOPROPANATION,Synthetic Applications,application_example,"Application page for Simmons-Smith cyclopropanation featuring (+)-Curacin A, (+)-Acetoxycrenulide, (+)-Ambruticin, and trans-Dihydroconfertifolin, showing late-stage installation of densely substituted cyclopropane motifs in natural products.",Simmons-Smith Cyclopropanation,Simmons-Smith Cyclopropanation,"Examples emphasize double direct cyclopropanation of a diene, substrate-controlled facial selectivity in medium rings, Charette asymmetric cyclopropanation of allylic alcohol derivatives, and gem-dimethyl-bearing cyclopropane formation before hydrogenation.",named reactions_465.jpg
p414,414,SKRAUP AND DOEBNER-MILLER QUINOLINE SYNTHESIS,Importance; Mechanism,canonical_overview,"Overview page for the Skraup and Doebner-Miller quinoline synthesis describing acid-promoted annulation of anilines with glycerol or α,β-unsaturated carbonyl compounds under oxidative conditions to furnish quinoline derivatives.",Skraup and Doebner-Miller Quinoline Synthesis|Skraup synthesis|Doebner-Miller synthesis,Skraup and Doebner-Miller Quinoline Synthesis,"Key concepts: in situ acrolein generation from glycerol in the Skraup process, Doebner-Miller condensation with enals or ketones, strongly acidic oxidative media, and broad access to benzene-ring- or pyridine-ring-substituted quinolines.",named reactions_466.jpg
p415,415,SKRAUP AND DOEBNER-MILLER QUINOLINE SYNTHESIS,Synthetic Applications,application_example,"Application page for the Skraup and Doebner-Miller quinoline synthesis featuring pyrido[2,3,4-k]acridine, 5-fluoroprimaquine, naphthopyranoquinolines, and an alkylphenanthroline transfer-hydrogenation catalyst precursor.",Skraup and Doebner-Miller Quinoline Synthesis|Doebner-Miller synthesis,Skraup and Doebner-Miller Quinoline Synthesis,"Examples highlight annulation from vinyl phenyl ketones, acrolein-based antimalarial synthesis, hydrochloride-enamine cyclizations from naphthopyran chloroaldehydes, and sequential Doebner-Miller reactions to build chiral phenanthroline ligands.",named reactions_467.jpg
p416,416,SMILES REARRANGEMENT,Importance; Mechanism,canonical_overview,"Overview page for the Smiles rearrangement describing base-promoted intramolecular aryl migration by ipso nucleophilic aromatic substitution in activated diaryl ethers, sulfides, sulfones, and related heteroatom-linked biaryls.",Smiles Rearrangement|Smiles-Truce rearrangement,Smiles Rearrangement,"Key concepts: activated aryl migration with electron-withdrawing groups, Smiles-Truce carbon-centered variants, heteroatom-linked biaryl systems, and a five-membered transition state that effects intramolecular SNAr rearrangement.",named reactions_468.jpg
p417,417,SMILES REARRANGEMENT,Synthetic Applications,application_example,"Application page for the Smiles rearrangement featuring a fused [1]benzothieno[3,2-d]furo[2,3-b]pyridine skeleton, lichen diphenyl ether epiphorellic acid 1, dipyrido[2,3-b]diazepinone derivatives, and a one-pot route from phenols to aromatic amines.",Smiles Rearrangement|Smiles-Truce rearrangement,Smiles Rearrangement,"Examples emphasize tandem cyclization after anionic Smiles rearrangement, DMSO-mediated diaryl phenolic ester migration, heterocycle formation by chloride displacement, and a practical aromatic-amine synthesis from aryloxy amides.",named reactions_469.jpg
p418,418,SMITH-TIETZE MULTICOMPONENT DITHIANE LINCHPIN COUPLING,Importance; Mechanism,canonical_overview,"Overview page for the Smith-Tietze multicomponent dithiane linchpin coupling describing epoxide opening by lithiated 2-silylated-1,3-dithianes followed by solvent-controlled [1,4]-Brook rearrangement to give symmetrical or unsymmetrical 1,5-polyol fragments.",Smith-Tietze Multicomponent Dithiane Linchpin Coupling,Smith-Tietze Multicomponent Dithiane Linchpin Coupling,"Key concepts: 2-silylated 1,3-dithiane anion linchpins, spontaneous or HMPA/DMPU-controlled Brook rearrangement, regiospecific epoxide opening, and one-pot multicomponent assembly of masked polyol arrays.",named reactions_470.jpg
p419,419,SMITH-TIETZE MULTICOMPONENT DITHIANE LINCHPIN COUPLING,Synthetic Applications,application_example,"Application page for Smith-Tietze multicomponent dithiane linchpin coupling featuring the B-ring synthon of bryostatin 1, Schreiber's C16-C28 trisacetonide subtarget of mycotoxins, and the AB-ring fragment of spongistatin.",Smith-Tietze Multicomponent Dithiane Linchpin Coupling,Smith-Tietze Multicomponent Dithiane Linchpin Coupling,"Examples highlight HMPA-assisted homologous epoxide coupling, five-component linchpin coupling with a chiral diepoxide, and three-component assembly of densely oxygenated fragments followed by oxidative dithiane removal and spiroketalization.",named reactions_471.jpg
